6.406640128377597e-6,1.0650990698944957*^-19+0.*I,1.0650990702823709*^-19+0.*I,1.0650990682836955*^-19+0.*I,-5.325495359465855*^-20-1.0941668235015595*^-29*I,-5.3254953394791013*^-20+1.0941659777549845*^-29*I,-5.325495343357853*^-20-1.094166021478657*^-29*I
6.486543664350436e-6,1.1473293423655799*^-19+0.*I,1.1473293427834005*^-19+0.*I,1.1473293406304188*^-19+0.*I,-5.736646722592808*^-20-1.1933412670913962*^-29*I,-5.73664670106299*^-20+1.1933403214823462*^-29*I,-5.736646705241198*^-20-1.1933403704521499*^-29*I
6.5674437562298076e-6,1.2359081487115537*^-19+0.*I,1.235908149161632*^-19+0.*I,1.2359081468424308*^-19+0.*I,-6.179540755153775*^-20-1.3015048066776907*^-29*I,-6.179540731961761*^-20+1.301503749351783*^-29*I,-6.179540736462545*^-20-1.3015038042086181*^-29*I
6.649352833048565e-6,1.3313256232790088*^-19+0.*I,1.3313256237638352*^-19+0.*I,1.3313256212655814*^-19+0.*I,-6.656628128886313*^-20-1.4194722068428843*^-29*I,-6.656628103903775*^-20+1.4194710249252963*^-29*I,-6.656628108752039*^-20-1.41947108606964*^-29*I
6.732283478854348e-6,1.4341097409098038*^-19+0.*I,1.4341097414320611*^-19+0.*I,1.4341097387409313*^-19+0.*I,-7.170548718004668*^-20-1.548132082467428*^-29*I,-7.17054869109337*^-20+1.548130761000229*^-29*I,-7.170548696315942*^-20-1.548130829300059*^-29*I
6.816248434642838e-6,1.5448292383909526*^-19+0.*I,1.5448292389535303*^-19+0.*I,1.5448292360546335*^-19+0.*I,-7.724146206449246*^-20-1.6884535910779278*^-29*I,-7.72414617746028*^-20+1.6884521135143422*^-29*I,-7.724146183086056*^-20-1.6884521899754629*^-29*I
6.901260600315271e-6,1.6640967614532422*^-19+0.*I,1.6640967620592532*^-19+0.*I,1.6640967589365492*^-19+0.*I,-8.320483822879731*^-20-1.841493734119019*^-29*I,-8.320483791652691*^-20+1.84149208244113*^-29*I,-8.3204837977128*^-20-1.8414921680296538*^-29*I
6.9873330366602766e-6,1.7925722547316254*^-19+0.*I,1.7925722553844232*^-19+0.*I,1.792572252020633*^-19+0.*I,-8.962861290477079*^-20-2.0084053195691174*^-29*I,-8.962861256839176*^-20+2.0084034727472973*^-29*I,-8.962861263367154*^-20-2.0084035682481513*^-29*I
7.0744789673605195e-6,1.930966613445331*^-19+0.*I,1.9309666141485276*^-19+0.*I,1.930966610525038*^-19+0.*I,-9.654833085344102*^-20-2.1904456437951963*^-29*I,-9.654833049109207*^-20+2.1904435791040443*^-29*I,-9.654833056141172*^-20-2.1904436860293134*^-29*I
7.162711781024229e-6,2.0800456170032233*^-19+0.*I,2.0800456177607096*^-19+0.*I,2.080045613857471*^-19+0.*I,-1.0400228104532309*^-19-2.3889859646291608*^-29*I,-1.0400228065499923*^-19+2.3889836562985283*^-29*I,-1.0400228073074786*^-19-2.3889837758839323*^-29*I
7.2520450332422035e-6,2.240634166300703*^-19+0.*I,2.2406341671166704*^-19+0.*I,2.240634162912085*^-19+0.*I,-1.1203170852526441*^-19-2.6055218290809686*^-29*I,-1.1203170810480588*^-19+2.605519248432258*^-29*I,-1.1203170818640262*^-19-2.605519381977641*^-29*I
7.342492448670384e-6,2.413620848154073*^-19+0.*I,2.4136208490330367*^-19+0.*I,2.413620844503839*^-19+0.*I,-1.2068104263416355*^-19-2.8416843394891746*^-29*I,-1.2068104218124376*^-19+2.8416814545665514*^-29*I,-1.2068104226914015*^-19-2.8416816037005083*^-29*I
7.434067923138498e-6,2.5999628521291247*^-19+0.*I,2.5999628530759485*^-19+0.*I,2.599962848197077*^-19+0.*I,-1.2999814285039982*^-19-3.099252440586669*^-29*I,-1.2999814236251268*^-19+3.09924921493389*^-29*I,-1.2999814245719503*^-19-3.099249382137833*^-29*I
7.52678552578484e-6,2.8006912669697993*^-19+0.*I,2.8006912679897217*^-19+0.*I,2.8006912627341805*^-19+0.*I,-1.4003456361126705*^-19-3.3801663188256956*^-29*I,-1.4003456308571288*^-19+3.3801627123683067*^-29*I,-1.4003456318770515*^-19-3.380162898760252*^-29*I
7.620659501217841e-6,3.016916785934296*^-19+0.*I,3.016916787032961*^-19+0.*I,3.016916781371669*^-19+0.*I,-1.5084583957977942*^-19-3.6865420175133495*^-29*I,-1.508458390136502*^-19+3.6865379856424787*^-29*I,-1.508458391235167*^-19-3.6865381938486747*^-29*I
7.715704271704492e-6,3.2498358526075457*^-19+0.*I,3.2498358537910325*^-19+0.*I,3.249835847692664*^-19+0.*I,-1.6249179293529571*^-19-4.02068737710536*^-29*I,-1.6249179232545885*^-19+4.0206828693546875*^-29*I,-1.6249179244380754*^-19-4.0206831025567023*^-29*I
7.811934439386168e-6,3.5007372811971523*^-19+0.*I,3.5007372824720096*^-19+0.*I,3.5007372759028205*^-19+0.*I,-1.7503686438831705*^-19-4.385119418492202*^-29*I,-1.7503686373139816*^-19+4.3851143785858453*^-29*I,-1.750368638588839*^-19-4.385114639418261*^-29*I
7.909364788521921e-6,3.771009387944323*^-19+0.*I,3.7710093893176047*^-19+0.*I,3.771009382241246*^-19+0.*I,-1.885504697510341*^-19-4.7825833039250216*^-29*I,-1.8855046904339823*^-19+4.782577669349408*^-29*I,-1.8855046918072637*^-19-4.782577960611966*^-29*I
8.008010287759914e-6,4.0621476731108637*^-19+0.*I,4.062147674590168*^-19+0.*I,4.0621476669674837*^-19+0.*I,-2.031073840366774*^-19-5.216073014730269*^-29*I,-2.0310738327440897*^-19+5.21606671543717*^-29*I,-2.0310738342233943*^-19-5.216067041290454*^-29*I
8.107886092437087e-6,4.375763096048439*^-19+0.*I,4.375763097641952*^-19+0.*I,4.375763089430764*^-19+0.*I,-2.187881552129814*^-19-5.68885390455353*^-29*I,-2.1878815439186255*^-19+5.688846861613154*^-29*I,-2.187881545512139*^-19-5.688847225921444*^-29*I
8.209007546907605e-6,4.713590989139133*^-19+0.*I,4.713590990855673*^-19+0.*I,4.713590982010545*^-19+0.*I,-2.3567954989921304*^-19-6.204487296542014*^-29*I,-2.3567954901470024*^-19+6.20447942196875*^-29*I,-2.356795491863542*^-19-6.204479829362544*^-29*I
8.311390186900177e-6,5.077500659930109*^-19+0.*I,5.077500661779173*^-19+0.*I,5.077500652251164*^-19+0.*I,-2.53875033472906*^-19-6.766857308058687*^-29*I,-2.5387503252010497*^-19+6.766848504600714*^-29*I,-2.5387503270501134*^-19-6.766848959945387*^-29*I
8.41504974190494e-6,5.469505734594916*^-19+0.*I,5.469505736586735*^-19+0.*I,5.469505726323122*^-19+0.*I,-2.7347528724292647*^-19-7.380200113221568*^-29*I,-2.734752862165651*^-19+7.380190270781733*^-29*I,-2.7347528641574707*^-19-7.380190780066664*^-29*I
8.520002137590023e-6,5.891775299954294*^-19+0.*I,5.89177530209989*^-19+0.*I,5.891775291043881*^-19+0.*I,-2.945887655505151*^-19-8.049135846542519*^-29*I,-2.945887644449142*^-19+8.049124842154183*^-29*I,-2.945887646594739*^-19-8.049125411492621*^-29*I
8.626263498248342e-6,6.346645905709275*^-19+0.*I,6.346645908020521*^-19+0.*I,6.34664589611094*^-19+0.*I,-3.1733229588094276*^-19-8.778703408771237*^-29*I,-3.173322946899847*^-19+8.778691106076231*^-29*I,-3.173322949211093*^-19-8.778691742004979*^-29*I
8.73385014927474e-6,6.836634493297688*^-19+0.*I,6.836634495787374*^-19+0.*I,6.836634482958321*^-19+0.*I,-3.4183172530633705*^-19-9.574398424488454*^-29*I,-3.418317240234318*^-19+9.574384670298136*^-29*I,-3.4183172427240026*^-19-9.574385382107493*^-29*I
8.842778619674197e-6,7.364452322914697*^-19+0.*I,7.364452325596596*^-19+0.*I,7.364452311777085*^-19+0.*I,-3.6822261683671036*^-19-1.0442214636111008*^-28*I,-3.682226154547593*^-19+1.044219925837682*^-28*I,-3.6822261572294917*^-19-1.0442200053809974*^-28*I
